Iteração,API,TIPO,Tempo de Resposta (ms),Tamanho da Resposta (bytes)
18,GraphQL List Repos More Info,graphql_2,1330.43,21604
18,REST Get Repo PRs,rest,901.41,1168277
18,GraphQL Get Repo PRs,graphql_1,634.11,3237
18,GraphQL Get Repo PRs More Info,graphql_2,818.40,27078
19,REST List Repos,rest,381.08,36311
19,GraphQL List Repos,graphql_1,511.18,1006
19,GraphQL List Repos More Info,graphql_2,1413.69,21604
19,REST Get Repo PRs,rest,755.75,1168277
19,GraphQL Get Repo PRs,graphql_1,380.42,3237
19,GraphQL Get Repo PRs More Info,graphql_2,938.43,27078
20,REST List Repos,rest,369.16,36311
20,GraphQL List Repos,graphql_1,451.26,1006
20,GraphQL List Repos More Info,graphql_2,1250.42,21604
20,REST Get Repo PRs,rest,817.14,1168277
20,GraphQL Get Repo PRs,graphql_1,431.50,3237
20,GraphQL Get Repo PRs More Info,graphql_2,1041.13,27078
21,REST List Repos,rest,380.17,36311
21,GraphQL List Repos,graphql_1,510.56,1006
21,GraphQL List Repos More Info,graphql_2,1433.03,21604
21,REST Get Repo PRs,rest,680.62,1168277
21,GraphQL Get Repo PRs,graphql_1,445.23,3237
21,GraphQL Get Repo PRs More Info,graphql_2,818.85,27078
22,REST List Repos,rest,380.19,36311
22,GraphQL List Repos,graphql_1,509.60,1006
22,GraphQL List Repos More Info,graphql_2,1741.02,21604
22,REST Get Repo PRs,rest,867.91,1168277
22,GraphQL Get Repo PRs,graphql_1,462.33,3237
22,GraphQL Get Repo PRs More Info,graphql_2,819.58,27078
23,REST List Repos,rest,378.34,36311
23,GraphQL List Repos,graphql_1,513.06,1006
23,GraphQL List Repos More Info,graphql_2,1255.07,21604
23,REST Get Repo PRs,rest,751.04,1168277
23,GraphQL Get Repo PRs,graphql_1,449.10,3237
23,GraphQL Get Repo PRs More Info,graphql_2,895.04,27078
24,REST List Repos,rest,405.35,36311
24,GraphQL List Repos,graphql_1,511.74,1006
24,GraphQL List Repos More Info,graphql_2,1228.02,21604
24,REST Get Repo PRs,rest,592.91,1168277
