Iteração,API,TIPO,Tempo de Resposta (ms),Tamanho da Resposta (bytes)
18,GraphQL List Repos More Info,graphql_2,1332.09,21604
18,REST Get Repo PRs,rest,818.63,1168277
18,GraphQL Get Repo PRs,graphql_1,513.43,3237
18,GraphQL Get Repo PRs More Info,graphql_2,715.33,27078
19,REST List Repos,rest,408.41,36311
19,GraphQL List Repos,graphql_1,512.01,1006
19,GraphQL List Repos More Info,graphql_2,2047.60,21604
19,REST Get Repo PRs,rest,1291.01,1168277
19,GraphQL Get Repo PRs,graphql_1,415.61,3237
19,GraphQL Get Repo PRs More Info,graphql_2,1467.25,27078
20,REST List Repos,rest,305.05,36311
20,GraphQL List Repos,graphql_1,512.77,1006
20,GraphQL List Repos More Info,graphql_2,1480.61,21604
20,REST Get Repo PRs,rest,850.03,1168277
20,GraphQL Get Repo PRs,graphql_1,431.85,3237
20,GraphQL Get Repo PRs More Info,graphql_2,819.92,27078
21,REST List Repos,rest,307.94,36311
21,GraphQL List Repos,graphql_1,512.31,1006
21,GraphQL List Repos More Info,graphql_2,1227.32,21604
21,REST Get Repo PRs,rest,1159.24,1168277
21,GraphQL Get Repo PRs,graphql_1,580.32,3237
21,GraphQL Get Repo PRs More Info,graphql_2,818.52,27078
22,REST List Repos,rest,306.69,36311
22,GraphQL List Repos,graphql_1,614.83,1006
22,GraphQL List Repos More Info,graphql_2,1228.88,21604
22,REST Get Repo PRs,rest,808.91,1168277
22,GraphQL Get Repo PRs,graphql_1,419.84,3237
22,GraphQL Get Repo PRs More Info,graphql_2,919.66,27078
23,REST List Repos,rest,409.23,36311
23,GraphQL List Repos,graphql_1,409.38,1006
23,GraphQL List Repos More Info,graphql_2,1227.57,21604
23,REST Get Repo PRs,rest,897.49,1168277
23,GraphQL Get Repo PRs,graphql_1,438.91,3237
23,GraphQL Get Repo PRs More Info,graphql_2,916.66,27078
24,REST List Repos,rest,305.68,36311
24,GraphQL List Repos,graphql_1,511.30,1006
24,GraphQL List Repos More Info,graphql_2,1439.30,21604
24,REST Get Repo PRs,rest,875.68,1168277
24,GraphQL Get Repo PRs,graphql_1,448.61,3237
24,GraphQL Get Repo PRs More Info,graphql_2,1127.77,27078
25,REST List Repos,rest,305.17,36311
25,GraphQL List Repos,graphql_1,409.05,1006
25,GraphQL List Repos More Info,graphql_2,1331.17,21604
25,REST Get Repo PRs,rest,882.43,1168277
25,GraphQL Get Repo PRs,graphql_1,449.42,3237
25,GraphQL Get Repo PRs More Info,graphql_2,1227.22,27078
26,REST List Repos,rest,337.54,36311
26,GraphQL List Repos,graphql_1,480.74,1006
